Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Export Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%)
China,Papua New Guinea,2020,Export,  All Products,922820.43,100,,,
China,Poland,2020,Export,  All Products,26730657.67,100,1,1.61,9.98
China,"Korea, Dem. Rep.",2020,Export,  All Products,490967.99,100,,,
China,Portugal,2020,Export,  All Products,4180565.07,100,1,-6.74,2.97
China,Paraguay,2020,Export,  All Products,1216925.09,100,1,-8.44,25.16
China,Occ.Pal.Terr,2020,Export,  All Products,100455.87,100,1,-4.25,-5.33
China,French Polynesia,2020,Export,  All Products,100192.26,100,1,-10.06,-1.84
China,Qatar,2020,Export,  All Products,2631009.7,100,1,-5.9,5.1
China,Romania,2020,Export,  All Products,5126383.64,100,1,-2.4,6.19
China,Russian Federation,2020,Export,  All Products,50504392.05,100,1,-3.19,0.71
China,Rwanda,2020,Export,  All Products,282522.73,100,,,
China,South Asia,2020,Export,  All Products,102952753,100,,,
China,Saudi Arabia,2020,Export,  All Products,28094807.84,100,1,-4.62,-1.04
China,Senegal,2020,Export,  All Products,2563934.08,100,1,-2.05,-9.09
China,"Serbia, FR(Serbia/Montenegro)",2020,Export,  All Products,1624339.45,100,1,-0.94,14.54
China,Singapore,2020,Export,  All Products,57624786.43,100,1,-4.32,-1.71
China,Solomon Islands,2020,Export,  All Products,116601.73,100,,,
China,Sierra Leone,2020,Export,  All Products,371371.82,100,,,
China,El Salvador,2020,Export,  All Products,938235.8,100,1,-6.02,-5.78
China,San Marino,2020,Export,  All Products,6649.45,100,,,
China,Somalia,2020,Export,  All Products,892584.59,100,,,
China,Saint Pierre and Miquelon,2020,Export,  All Products,385.8,100,,,
China,South Sudan,2020,Export,  All Products,156082.89,100,,,
China,Sub-Saharan Africa,2020,Export,  All Products,82446728.92,100,,,
China,Sao Tome and Principe,2020,Export,  All Products,20313.47,100,1,-3.31,-13.92
China,Sudan,2020,Export,  All Products,2511410.87,100,,,
China,Suriname,2020,Export,  All Products,221329.11,100,1,-5.35,-10.05
China,Slovak Republic,2020,Export,  All Products,3031506.14,100,1,-3.3,-0.45
China,Slovenia,2020,Export,  All Products,3452194.03,100,1,-2.18,7.04
China,Sweden,2020,Export,  All Products,8368156.18,100,1,-3.04,-2.18
China,Eswatini,2020,Export,  All Products,39892.18,100,1,-6.4,-5.18
China,Seychelles,2020,Export,  All Products,57669.98,100,1,1.94,-20.08
China,Syrian Arab Republic,2020,Export,  All Products,833516.7,100,,,
China,Turks and Caicos Isl.,2020,Export,  All Products,3310.83,100,,,
China,Chad,2020,Export,  All Products,298320.68,100,,,
China,Togo,2020,Export,  All Products,2459152.64,100,1,10.24,9.67
China,Thailand,2020,Export,  All Products,50513175.95,100,1,-2.12,4.33
China,Tajikistan,2020,Export,  All Products,1016829.93,100,1,-2.87,-14.91
